City,Total invoice value
Tiruttani,256.41
Tirwaganj,199.0
Tollygunge,108.9
Tumakuru,39622.82
UTTAR PRADESH,768.24
Udaipur,1265.02
Udaypur,371675.23
Ujjain,574.0
Ullal,180.0
Unchahar,235.0
Uniara,157.41
"Upper Bazar, Ranchi",86787.89
VADODARA,256.40999999999997
VARAM,72545.98
VASANT KUNJ,1520.48
VISAKHAPATNAM,285.01
"VPO Kharawar, Rohtak",1440.0
Vadodara,3665486.23
Vadodaravadodara,199.0
Vapi,359.99
Vasai Virar,1900.03
Vellore,292.43
Velur,298.98
Venketraipur,165.0
Versova,1130.02
Vijapur,256.41
Vijayawada,2440.96
Vikramasingapuram,195.0
Village Baprour,1152953.66
Village Rasalkheri,16312.32
"Village Sonale, Bhiwandi",1079.98
Visakhapatnam,11804.01
Vizianagaram,195.0
Vythiri,235.0
WADGAON SHERI,2408.64
WANGANI,256.40999999999997
"WEST MARREDPALLY,SECUNDERABAD",199.0
WORLI,12768.01
Wardha,405.42
Y. N. ROAD,63351.89000000001
Yamunanagar,339.0
Zirakpur,660915.41
abhirarampuram,8489.99
ahmedabad,197.01000000000002
amritsar,34298.69
"athappampalayam, vallipurathan",2338668.15
bangalore South,719.98
kolkata,105.0
muzaffarnagar,328104.42
ujjain,49871.59
